PK,TimeStamp,Level,Parent,IsBusiness,Tag,Application,Message,Ticks,DataIn,DataInType,DataOut,DataOutType,TerminalID,TerminalIP,FKUser,ItemID,ItemType,FKExtern,
0,11-01-21 17:25:00,Log,0,True,"","","ctor ZPF.PhotosPage",0,"","","","","","","","","",-1,
0,11-01-21 17:25:00,Log,0,True,"","","ctor StoreCheck.Pages.InterventionPage",0,"","","","","","","","","",-1,
0,11-01-21 17:25:01,Log,0,True,"MEM","","102453264 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:25:03,Log,0,True,"MEM","","101532056 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:27:00,Log,0,True,"","","App.OnSleep()",0,"","","","","","","","","",-1,
0,11-01-21 17:27:49,Log,0,True,"","","App.OnResume()",0,"","","","","","","","","",-1,
0,11-01-21 17:27:49,Log,0,True,"MEM","","101511496 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:28:07,Log,0,True,"","","ctor ZPF.PhotosPage",0,"","","","","","","","","",-1,
0,11-01-21 17:28:07,Log,0,True,"","","ctor StoreCheck.Pages.InterventionPage",0,"","","","","","","","","",-1,
0,11-01-21 17:28:08,Log,0,True,"MEM","","102489864 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:28:09,Log,0,True,"","","ctor ZPF.PhotosPage",0,"","","","","","","","","",-1,
0,11-01-21 17:28:09,Log,0,True,"","","ctor StoreCheck.Pages.InterventionPage",0,"","","","","","","","","",-1,
0,11-01-21 17:28:10,Log,0,True,"MEM","","102714336 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:28:11,Log,0,True,"MEM","","102039056 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:28:12,Log,0,True,"","","ctor StoreCheck.Pages.ContactPage",0,"","","","","","","","","",-1,
0,11-01-21 17:28:13,Log,0,True,"MEM","","102557512 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:28:17,Log,0,True,"MEM","","102783064 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:28:20,Log,0,True,"MEM","","102406232 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:28:31,Log,0,True,"","","App.OnSleep()",0,"","","","","","","","","",-1,
0,11-01-21 17:33:58,Log,0,True,"","","App.OnResume()",0,"","","","","","","","","",-1,
0,11-01-21 17:33:59,Log,0,True,"MEM","","101586312 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:34:15,Info,0,True,"","","SyncDataWithWeb(NC)",0,"","","","","","","","","",-1,
0,11-01-21 17:34:18,Log,0,True,"AuditTrail","","Clean",0,"","","","","","","","","",-1,
0,11-01-21 17:34:18,Log,0,True,"","","SyncDocuments - /Documents/List/11.01.2021 17:24/105 - dwnl 0 items in 0,101746 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:34:19,Log,0,False,"","","Documents 8 
",0,"","","","","","","","","",-1,
0,11-01-21 17:34:33,Log,0,True,"","","SyncInterventions - /Interventions/ListInt/01.01.0001 00:00/105 - dwnl 103 items in 11,257276 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:34:33,Log,0,False,"","","Interventions 103 
",0,"","","","","","","","","",-1,
0,11-01-21 17:34:35,Log,0,True,"","","SyncStores - /Store/List/01.01.0001 00:00 - dwnl 1652 items in 1,327683 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:34:35,Log,0,False,"","","Stores 1652 
",0,"","","","","","","","","",-1,
0,11-01-21 17:34:36,Log,0,True,"","","SyncArticles - /Articles/List/01.01.0001 00:00 - dwnl 875 items in 0,71776 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:34:36,Log,0,False,"","","Articles 875 
",0,"","","","","","","","","",-1,
0,11-01-21 17:34:37,Log,0,True,"","","SyncFamilies - /Familles/List/01.01.0001 00:00 - dwnl 230 items in 0,433261 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:34:40,Log,0,True,"ws","","Save in 2,571581 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:34:40,Log,0,False,"","","Families 230 
",0,"","","","","","","","","",-1,
0,11-01-21 17:34:40,Log,0,False,"","","Save local data ... 
",0,"","","","","","","","","",-1,
0,11-01-21 17:34:41,Log,0,True,"ws","","Sync in 25,574617 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:34:41,Log,0,False,"","","",0,"","","","","","","","","",-1,
0,11-01-21 17:36:07,Log,0,True,"","","App.OnSleep()",0,"","","","","","","","","",-1,
0,11-01-21 18:48:49,Log,0,True,"","","App.OnResume()",0,"","","","","","","","","",-1,
0,11-01-21 18:49:15,Log,0,True,"","","App.OnSleep()",0,"","","","","","","","","",-1,
0,11-01-21 19:08:46,Log,0,True,"","","App.OnResume()",0,"","","","","","","","","",-1,
0,11-01-21 19:08:49,Log,0,True,"MENU","","interventions",0,"","","","","","","","","",-1,
0,11-01-21 19:08:49,Log,0,True,"","","ctor StoreCheck.Pages.StoreListPage",0,"","","","","","","","","",-1,
0,11-01-21 19:09:03,Log,0,True,"","","App.OnSleep()",0,"","","","","","","","","",-1,
0,11-01-21 20:28:26,Log,0,True,"","","----------------------------------------",0,"","","","","","","","","",-1,
0,11-01-21 20:28:27,Log,0,True,"","","11-01-21 20:28:27",0,"","","","","","","","","",-1,
0,11-01-21 20:28:27,Log,0,True,"","","StoreCheck 1.1.0.64",0,"","","","","","","","","",-1,
0,11-01-21 20:28:27,Log,0,True,"","","Unitech - EA502 / Android 7.1.1 ",0,"","","","","","","","","",-1,
0,11-01-21 20:28:28,Log,0,True,"","","MainViewModel()",0,"","","","","","","","","",-1,
0,11-01-21 20:28:28,Log,0,True,"MEM","","6628584 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 20:28:29,Log,0,True,"AuditTrail","","Clean",0,"","","","","","","","","",-1,
0,11-01-21 20:28:30,Log,0,True,"","","App.OnStart()",0,"","","","","","","","","",-1,
0,11-01-21 20:28:31,Log,0,False,"","","Load Interventions ...",0,"","","","","","","","","",-1,
0,11-01-21 20:28:33,Log,0,False,"","","Load Documents ...",0,"","","","","","","","","",-1,
0,11-01-21 20:28:33,Log,0,False,"","","Load Stores ...",0,"","","","","","","","","",-1,
0,11-01-21 20:28:34,Log,0,False,"","","Load Articles ...",0,"","","","","","","","","",-1,
0,11-01-21 20:28:34,Log,0,False,"","","Load Families ...",0,"","","","","","","","","",-1,
0,11-01-21 20:28:35,Log,0,False,"","","",0,"","","","","","","","","",-1,
0,11-01-21 20:28:36,Log,0,True,"MENU","","interventions",0,"","","","","","","","","",-1,
0,11-01-21 20:28:36,Log,0,True,"","","ctor StoreCheck.Pages.StoreListPage",0,"","","","","","","","","",-1,
0,11-01-21 20:29:11,Log,0,True,"","","App.OnSleep()",0,"","","","","","","","","",-1,
